sourceId,targetId,relationType,version,status
RQ-001,METRIC-RQ1-ENTRY,MEASURED_BY,1.0.0,ACTIVE
RQ-001,MART-RQ1-GLOBAL,COMPUTED_IN,1.0.0,ACTIVE
RQ-002A,MART-RQ2A-MONTHLY,COMPUTED_IN,1.0.0,ACTIVE
RQ-002B,MART-NCS-BAND-MAIN,COMPUTED_IN,1.0.0,ACTIVE
DATA-LKA-001,PIPE-001,INGESTED_BY,1.0.0,ACTIVE
PIPE-001,PIPE-002,FEEDS,1.0.0,ACTIVE
PIPE-002,PIPE-003,FEEDS,1.0.0,ACTIVE
DATA-NCS-001,PIPE-004,REFERENCED_BY,1.0.0,ACTIVE
PIPE-003,PIPE-005,FEEDS,1.0.0,ACTIVE
PIPE-004,PIPE-005,FEEDS,1.0.0,ACTIVE
MART-RQ1-GLOBAL,RESULT-RQ1-*,PRODUCES,1.0.0,FUTURE
RESULT-RQ1-*,CLAIM-*,SUPPORTS,1.0.0,FUTURE
