legacy_path,classification,reason,replacement,source_commit,sha256,action
.env.example,KEEP_CANONICAL,repository control retained with cleanroom semantics,.env.example,d691a97d68b237ef0698c36a3576cdbb07b6c29d,fd8f9ba61204b0255ef6ee32e9742c919f6373df5cf18921604dddfde6f4d237,REWRITE
.github/workflows/ci.yml,KEEP_CANONICAL,CI retained but rewritten for DPDD governance,.github/workflows/ci.yml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,30b78c125e7c60e50e24963b4eae0ccf733f1fd9d079dd55bb0761d0734f9a0b,REWRITE
.gitignore,KEEP_CANONICAL,repository control retained with cleanroom semantics,.gitignore,d691a97d68b237ef0698c36a3576cdbb07b6c29d,480514d2aaa66ec171dd5959bb03e4fc43e2e52c0aa1e06ab7889f892ac3cb51,REWRITE
.python-version,KEEP_CANONICAL,required build or project metadata,.python-version,d691a97d68b237ef0698c36a3576cdbb07b6c29d,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d,KEEP
README.md,KEEP_CANONICAL,repository control retained with cleanroom semantics,README.md,d691a97d68b237ef0698c36a3576cdbb07b6c29d,75bd309cc7240e112a63b78c9d1d3089b10073d7a2adc6d7ff656b5549d1573a,REWRITE
artifacts/qa/.gitkeep,DELETE_GENERATED,generated evidence location contains placeholders only,artifacts/.gitkeep,d691a97d68b237ef0698c36a3576cdbb07b6c29d,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,normalize
artifacts/reports/.gitkeep,DELETE_GENERATED,generated evidence location contains placeholders only,artifacts/.gitkeep,d691a97d68b237ef0698c36a3576cdbb07b6c29d,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,normalize
artifacts/runs/.gitkeep,DELETE_GENERATED,generated evidence location contains placeholders only,artifacts/.gitkeep,d691a97d68b237ef0698c36a3576cdbb07b6c29d,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,normalize
config/gates.yaml,KEEP_CANONICAL,repository control retained with cleanroom semantics,config/gates.yaml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,12d0096e6dd17c8aa927bcba04e5bcb00017295e4acfb6f524c2361c871b8d76,REWRITE
config/ncs_scope.yaml,KEEP_CANONICAL,repository control retained with cleanroom semantics,config/ncs_scope.yaml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,1cbd6b06206059edc500d4361a1c7fc0f3d3082b64e430a2ae498133d6d901bd,REWRITE
config/periods.yaml,KEEP_CANONICAL,repository control retained with cleanroom semantics,config/periods.yaml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,f84faf17ff14d41ed7ecc7e3e37bdec31b07d4d0235d12a5b277c3b4a7b717ef,REWRITE
config/project.yaml,KEEP_CANONICAL,repository control retained with cleanroom semantics,config/project.yaml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,0d7306910e24943099f22279a70df4400884074fff312637b8e6be7f2b8e8ac8,REWRITE
config/query_registry.yaml,KEEP_CANONICAL,repository control retained with cleanroom semantics,config/query_registry.yaml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,828ce942903639e7d23a24177d90d781749f856015b3049e933573cd2ef59e6d,REWRITE
config/run_modes.yaml,KEEP_CANONICAL,repository control retained with cleanroom semantics,config/run_modes.yaml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,13051f88a215f8eee056a2eae407461df16a2831d57b274fade157a8366dc773,REWRITE
config/source_policy.yaml,KEEP_CANONICAL,repository control retained with cleanroom semantics,config/source_policy.yaml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,dd8827ed5e6bfbffb911127f5de4945c231280d6e1d8750cc7efaed8625cee84,REWRITE
contracts/registry.yaml,KEEP_CANONICAL,current bridge contract or extension schema,contracts/registry.yaml,d691a97d68b237ef0698c36a3576cdbb07b6c29d,6de3058ee3c5d22e41dd01f759227a6a976839c2bb41918ddcf13c55631f6b5d,selective import
contracts/schemas/v4_extensions/api_endpoint_contract.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/api_endpoint_contract.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,63c7daf20ccbc397234babf2b61e961c58103877d5bc472d7872891bd580bcd3,selective import
contracts/schemas/v4_extensions/api_probe_run.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/api_probe_run.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,3026c0a70d0a4c866a00634a71df566911fff409fbd588fd6ffa5a7d9a6d9bd5,selective import
contracts/schemas/v4_extensions/calibration_model.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/calibration_model.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,0194b3c77934e1f9794243690a8640fb52e25b9b06eadb118a496c14be9272a4,selective import
contracts/schemas/v4_extensions/candidate_packet.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/candidate_packet.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,a6dd2b679d92a72a81c875bf3fa796f079c5d8df436432c2a633fc6a458c5497,selective import
contracts/schemas/v4_extensions/ncs_duty_unit_bridge.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/ncs_duty_unit_bridge.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,3f5bd68d7433e052ac4fa7a1d7db49b31a7a0ec43106f5ae611295d9e38fa0db,selective import
contracts/schemas/v4_extensions/ncs_edge.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/ncs_edge.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,8cfbbc4b36083a3623ffd1851f692cd46f1e64670de4b2b50d5c3165dfb7b17d,selective import
contracts/schemas/v4_extensions/ncs_external_code_crosswalk.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/ncs_external_code_crosswalk.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,2770cb3aa46c8679236b4a61d104892b206980170c0a9919210cff8b3b88ff16,selective import
contracts/schemas/v4_extensions/ncs_node.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/ncs_node.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,9b12145dccfb79e175d13cfa3b72c91f017599bbe58c21050e2416ae7c1024be,selective import
contracts/schemas/v4_extensions/ocr_quality.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/ocr_quality.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,0e5372eb2fc9b03b311dd1b2d68a6f09eae2541a5c2fdd318f04e40e532637ac,selective import
contracts/schemas/v4_extensions/reference_label.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/reference_label.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,c2d234e9d11852450606be89408a4c5f503b297c2986b32dee2082ea902d3d8d,selective import
contracts/schemas/v4_extensions/semantic_chunk.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/semantic_chunk.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,424b13e02a20057575a7e9bd6454d5e293ba70d504ffbad430ad2ea6646707fe,selective import
contracts/schemas/v4_extensions/source_block.schema.json,KEEP_CANONICAL,current bridge contract or extension schema,contracts/schemas/v4_extensions/source_block.schema.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,4a6603deded33dcfef54e32900dceefcfa288b88361d5f3ccbf6b311dfe06b38,selective import
contracts/v2.1.2_legacy/AGENT3_TO_AGENT1_HANDOFF.json,ARCHIVE_EXTERNAL,stale agent or migration handoff report,DPDD governance and validation specs,d691a97d68b237ef0698c36a3576cdbb07b6c29d,1f09f3d063d4e61dc625c5c5205dd9c62b6a32980f04168e8964015898af62d6,preserved in archive only
contracts/v2.1.2_legacy/AGENT3_TO_AGENT2_HANDOFF.json,ARCHIVE_EXTERNAL,stale agent or migration handoff report,DPDD governance and validation specs,d691a97d68b237ef0698c36a3576cdbb07b6c29d,8de351b43626a202be7f19e293710eb5fd0c233b9d4119a275b39ec9692ac5ef,preserved in archive only
contracts/v2.1.2_legacy/CHECKSUMS.sha256,KEEP_COMPATIBILITY,2.1.2 compatibility contract required by 2.1.3 bridge validation,contracts/v2.1.2_legacy/CHECKSUMS.sha256,d691a97d68b237ef0698c36a3576cdbb07b6c29d,c662771f2666ab472d06b5da3beb5b4b0cea1811204cfdaf875594f97ad17da4,selective import
contracts/v2.1.2_legacy/CONTRACT_MANIFEST.json,KEEP_COMPATIBILITY,2.1.2 compatibility contract required by 2.1.3 bridge validation,contracts/v2.1.2_legacy/CONTRACT_MANIFEST.json,d691a97d68b237ef0698c36a3576cdbb07b6c29d,3d7a91480a7bb75122ce582e200293830411806f942628ec6180a666e9ed2b41,selective import
